"month","day","min_rain","max_rain","perc10","perc25","perc75","perc90","median_rain","year","date","basin","avg_mm_rainfall","name"
3,30,23.5479211860112,189.127097452561,32.2766235965263,43.4805244973055,145.773828844131,155.438770984178,85.9396980777552,2023,2023-03-30,"Sabinal",59.729513735565,"Median"
3,31,23.5479211860112,193.203439026491,32.2766235965263,43.4805244973055,145.773828844131,164.47429874245,85.9396980777552,2023,2023-03-31,"Sabinal",59.729513735565,"Median"
4,1,23.5479211860112,193.203439026491,32.2766235965263,43.4862433973481,145.827509464798,164.477669654115,85.9396980777552,2023,2023-04-01,"Sabinal",59.729513735565,"Median"
4,2,23.5479211860112,193.203439026491,32.2766235965263,43.4862433973481,153.404956676831,183.890320711641,85.9396980777552,2023,2023-04-02,"Sabinal",59.729513735565,"Median"
4,3,27.5043329657712,193.203439026491,32.2786913526999,43.5261868227076,155.174934377256,183.965873818706,86.6333131122844,2023,2023-04-03,"Sabinal",59.729513735565,"Median"
4,4,27.5043329657712,194.420276251922,32.4056151943913,47.9037513358756,165.521524987354,186.763814717216,87.1358907603321,2023,2023-04-04,"Sabinal",59.729513735565,"Median"
4,5,27.5043329657712,194.420276251922,32.5605948209583,43.5261868227076,163.05759023738,186.692252403492,86.6713226457743,2023,2023-04-05,"Sabinal",61.1917127241503,"Median"
4,6,27.5043329657712,236.626855869334,32.6188919402442,48.1181124030633,163.074616393644,188.807571168557,86.6713226457743,2023,2023-04-06,"Sabinal",61.6310841011068,"Median"
4,7,27.5043329657712,236.626855869334,33.9930007490669,52.0182497349126,164.600386685617,189.312095360061,86.6713226457743,2023,2023-04-07,"Sabinal",62.0757597896234,"Median"
4,8,27.5043329657712,236.626855869334,34.007416497237,62.3516015624338,164.633299396978,189.930274767593,90.6234570609389,2023,2023-04-08,"Sabinal",62.0759974471683,"Median"
4,9,27.5043329657712,236.626855869334,34.007416497237,62.3551277295328,164.965611921514,189.930274767593,90.6234570609389,2023,2023-04-09,"Sabinal",62.0759974471683,"Median"
4,10,27.5089035877166,248.613510496299,34.007416497237,63.0564064541327,168.258684406844,189.930274767593,90.6234570609389,2023,2023-04-10,"Sabinal",63.0110357466348,"Median"
4,11,28.9601633263729,264.541624251464,34.9395629605525,63.2790408804729,168.317422857466,196.218385965361,90.6234570609389,2023,2023-04-11,"Sabinal",63.5386077920132,"Median"
4,12,28.9601633263729,264.541624251464,34.9395629605525,63.2884254611037,174.000449190033,196.235077175376,93.9994144558895,2023,2023-04-12,"Sabinal",63.5761461145362,"Median"
4,13,28.9601633263729,264.541624251464,35.0578877098721,63.2884254611037,182.449554982516,196.772555394831,94.0747789900817,2023,2023-04-13,"Sabinal",63.5761461145362,"Median"
4,14,28.9601633263729,264.541624251464,36.6588313330609,64.1392494892142,183.123546997686,196.772555394831,94.2280277822455,2023,2023-04-14,"Sabinal",63.5761461145362,"Median"
4,15,28.9601633263729,264.541624251464,36.6588313330609,67.1334438302208,187.709968904486,210.577688980587,94.9688382911738,2023,2023-04-15,"Sabinal",71.0480964811392,"Median"
4,16,28.9601633263729,270.681934481412,36.6588313330609,67.1334438302208,189.193780025968,210.577694458028,97.4262591567522,2023,2023-04-16,"Sabinal",71.0480964811392,"Median"
4,17,28.9601633263729,273.832797522533,36.6588313330609,67.1334438302208,190.555211989915,222.314714107073,97.4262591567522,2023,2023-04-17,"Sabinal",71.0480964811392,"Median"
4,18,28.9601633263729,274.082449700545,36.8929358260212,67.1715916367771,206.809588875571,222.321598319932,100.776827136176,2023,2023-04-18,"Sabinal",71.2006877073641,"Median"
4,19,28.9687569004852,274.082449700545,36.8929358260212,67.2897782338878,206.809588875571,222.321598319932,101.03645742854,2023,2023-04-19,"Sabinal",71.6734340958071,"Median"
4,20,34.2818350491483,274.119407281933,37.0802005520643,68.4314369663307,207.20440275429,222.321598319932,101.370423740855,2023,2023-04-20,"Sabinal",76.1471144984888,"Median"
