month,day,year,daily_cum_cubic_m_across_basin,basin_area,avg_mm_rainfall
6,1,2012,669490580.85436,1701207646,393.5384269101504
6,2,2012,669490580.85436,1701207646,393.5384269101504
6,3,2012,669490580.85436,1701207646,393.5384269101504
6,4,2012,669490580.85436,1701207646,393.5384269101504
6,5,2012,669490580.85436,1701207646,393.5384269101504
6,6,2012,669741979.76072,1701207646,393.68620364213905
6,7,2012,669800102.09068,1701207646,393.72036897762683
6,8,2012,669800102.09068,1701207646,393.72036897762683
6,9,2012,669800102.09068,1701207646,393.72036897762683
6,10,2012,669800102.09068,1701207646,393.72036897762683
6,11,2012,669800102.09068,1701207646,393.72036897762683
6,12,2012,669800102.09068,1701207646,393.72036897762683
6,13,2012,669822254.86853,1701207646,393.733390772998
6,14,2012,669822254.86853,1701207646,393.733390772998
6,15,2012,669822254.86853,1701207646,393.733390772998
6,16,2012,669822254.86853,1701207646,393.733390772998
6,17,2012,669822254.86853,1701207646,393.733390772998
6,18,2012,688479116.44031,1701207646,404.70022460756684
6,19,2012,688479116.44031,1701207646,404.70022460756684
6,20,2012,688541307.17999,1701207646,404.7367814263809
6,21,2012,690081511.17597,1701207646,405.6421406278878
6,22,2012,690081511.17597,1701207646,405.6421406278878
6,23,2012,690081511.17597,1701207646,405.6421406278878
6,24,2012,690081511.17597,1701207646,405.6421406278878
6,25,2012,690081511.17597,1701207646,405.6421406278878
6,26,2012,690081511.17597,1701207646,405.6421406278878
6,27,2012,690090609.22022,1701207646,405.6474886195168
6,28,2012,690090609.22022,1701207646,405.6474886195168
6,29,2012,690106417.47972,1701207646,405.6567809945759
6,30,2012,696695167.41845,1701207646,409.5297649623014
7,1,2012,698569695.41748,1701207646,410.6316457370778
7,2,2012,711503208.13021,1701207646,418.2341936936075
7,3,2012,711503208.13021,1701207646,418.2341936936075
7,4,2012,711503208.13021,1701207646,418.2341936936075
7,5,2012,716629983.00938,1701207646,421.2478028148834
7,6,2012,716631192.2648801,1701207646,421.24851363669455
7,7,2012,716631192.2648801,1701207646,421.24851363669455
7,8,2012,716733488.43849,1701207646,421.3086451402476
7,9,2012,721307288.27514,1701207646,423.99720573272106
7,10,2012,735509631.62086,1701207646,432.34559481921116
7,11,2012,777176284.8525801,1701207646,456.8379919288113
7,12,2012,777302085.23299,1701207646,456.91193962161987
7,13,2012,782661346.0243701,1701207646,460.0622080817817
7,14,2012,790834155.51175,1701207646,464.86633032200115
7,15,2012,802488417.33376,1701207646,471.716911936428
7,16,2012,831556060.5764,1701207646,488.80338771790355
7,17,2012,831559715.9116501,1701207646,488.8055363887367
7,18,2012,831748733.55271,1701207646,488.91664430757567
7,19,2012,832024313.5755401,1701207646,489.0786351283188
7,20,2012,832024313.5755401,1701207646,489.0786351283188
7,21,2012,832024313.5755401,1701207646,489.0786351283188
7,22,2012,832024313.5755401,1701207646,489.0786351283188
7,23,2012,832024313.5755401,1701207646,489.0786351283188
7,24,2012,832039269.66586,1701207646,489.08742658323325
7,25,2012,832039269.66586,1701207646,489.08742658323325
7,26,2012,832039269.66586,1701207646,489.08742658323325
7,27,2012,835402666.40052,1701207646,491.0644907838134
7,28,2012,835402666.40052,1701207646,491.0644907838134
7,29,2012,835402666.40052,1701207646,491.0644907838134
7,30,2012,835402666.40052,1701207646,491.0644907838134
7,31,2012,835402666.40052,1701207646,491.0644907838134
8,1,2012,835402666.40052,1701207646,491.0644907838134
8,2,2012,835402666.40052,1701207646,491.0644907838134
8,3,2012,835402666.40052,1701207646,491.0644907838134
8,4,2012,835402666.40052,1701207646,491.0644907838134
8,5,2012,835402666.40052,1701207646,491.0644907838134
8,6,2012,835402666.40052,1701207646,491.0644907838134
8,7,2012,835402666.40052,1701207646,491.0644907838134
8,8,2012,835402666.40052,1701207646,491.0644907838134
8,9,2012,835697263.33815,1701207646,491.2376600840589
8,10,2012,839694200.26455,1701207646,493.58713043578103
8,11,2012,842451494.9962701,1701207646,495.20791713880527
8,12,2012,842451494.9962701,1701207646,495.20791713880527
8,13,2012,847560396.11066,1701207646,498.21101974441746
8,14,2012,848387741.21725,1701207646,498.6973478587634
8,15,2012,848387741.21725,1701207646,498.6973478587634
8,16,2012,848387741.21725,1701207646,498.6973478587634
8,17,2012,848387741.21725,1701207646,498.6973478587634
8,18,2012,848489716.15032,1701207646,498.75729053143465
8,19,2012,895489400.04781,1701207646,526.3845375685609
8,20,2012,895504174.44259,1701207646,526.3932222196173
8,21,2012,895504174.44259,1701207646,526.3932222196173
8,22,2012,895526007.63531,1701207646,526.406056157186
8,23,2012,895529947.44081,1701207646,526.4083720446728
8,24,2012,895529947.44081,1701207646,526.4083720446728
8,25,2012,895529947.44081,1701207646,526.4083720446728
8,26,2012,895529947.44081,1701207646,526.4083720446728
8,27,2012,896068303.38691,1701207646,526.7248272095468
8,28,2012,897166448.83197,1701207646,527.3703365614723
8,29,2012,897665615.05705,1701207646,527.6637553138825
8,30,2012,897665615.05705,1701207646,527.6637553138825
8,31,2012,897737753.43012,1701207646,527.7061595278769
9,1,2012,897742341.75074,1701207646,527.7088566240432
9,2,2012,897751219.75598,1701207646,527.7140752728429
9,3,2012,897751219.75598,1701207646,527.7140752728429
9,4,2012,897751219.75598,1701207646,527.7140752728429
9,5,2012,897751219.75598,1701207646,527.7140752728429
9,6,2012,897751219.75598,1701207646,527.7140752728429
9,7,2012,897751219.75598,1701207646,527.7140752728429
9,8,2012,897751219.75598,1701207646,527.7140752728429
9,9,2012,897751219.75598,1701207646,527.7140752728429
9,10,2012,897751219.75598,1701207646,527.7140752728429
9,11,2012,897751219.75598,1701207646,527.7140752728429
9,12,2012,897751219.75598,1701207646,527.7140752728429
9,13,2012,931976284.8009,1701207646,547.8321749800671
9,14,2012,995327432.62933,1701207646,585.0711022664484
9,15,2012,995327432.62933,1701207646,585.0711022664484
9,16,2012,1038074795.9343001,1701207646,610.1987599074664
9,17,2012,1038074795.9343001,1701207646,610.1987599074664
9,18,2012,1038074795.9343001,1701207646,610.1987599074664
9,19,2012,1038074795.9343001,1701207646,610.1987599074664
9,20,2012,1038074795.9343001,1701207646,610.1987599074664
9,21,2012,1038074795.9343001,1701207646,610.1987599074664
9,22,2012,1038074795.9343001,1701207646,610.1987599074664
9,23,2012,1038074795.9343001,1701207646,610.1987599074664
9,24,2012,1038074795.9343001,1701207646,610.1987599074664
9,25,2012,1038074795.9343001,1701207646,610.1987599074664
9,26,2012,1038074795.9343001,1701207646,610.1987599074664
9,27,2012,1039465594.92716,1701207646,611.0162962006578
9,28,2012,1040083673.97605,1701207646,611.3796140180585
9,29,2012,1108302907.29172,1701207646,651.4800882171205
9,30,2012,1108302907.29172,1701207646,651.4800882171205
10,1,2012,1115783098.6015801,1701207646,655.877077219285
10,2,2012,1116059985.62077,1701207646,656.0398363156487
10,3,2012,1116059985.62077,1701207646,656.0398363156487
10,4,2012,1116059985.62077,1701207646,656.0398363156487
10,5,2012,1116059985.62077,1701207646,656.0398363156487
10,6,2012,1116059985.62077,1701207646,656.0398363156487
10,7,2012,1116059985.62077,1701207646,656.0398363156487
10,8,2012,1116059985.62077,1701207646,656.0398363156487
10,9,2012,1116059985.62077,1701207646,656.0398363156487
10,10,2012,1116059985.62077,1701207646,656.0398363156487
10,11,2012,1116711030.30396,1701207646,656.4225319170473
10,12,2012,1116711313.5538101,1701207646,656.4226984163284
10,13,2012,1117086394.32398,1701207646,656.6431775395278
10,14,2012,1122375223.08484,1701207646,659.7520448040826
10,15,2012,1122375792.0002,1701207646,659.7523792226125
10,16,2012,1126255279.73281,1701207646,662.0328108570058
10,17,2012,1126255279.73281,1701207646,662.0328108570058
10,18,2012,1126255279.73281,1701207646,662.0328108570058
10,19,2012,1126255279.73281,1701207646,662.0328108570058
10,20,2012,1126255279.73281,1701207646,662.0328108570058
10,21,2012,1126255279.73281,1701207646,662.0328108570058
10,22,2012,1126255279.73281,1701207646,662.0328108570058
10,23,2012,1126255279.73281,1701207646,662.0328108570058
10,24,2012,1126255279.73281,1701207646,662.0328108570058
10,25,2012,1126255279.73281,1701207646,662.0328108570058
10,26,2012,1136827107.43308,1701207646,668.247118513762
10,27,2012,1136827107.43308,1701207646,668.247118513762
10,28,2012,1136827107.43308,1701207646,668.247118513762
10,29,2012,1136827107.43308,1701207646,668.247118513762
10,30,2012,1136827107.43308,1701207646,668.247118513762
10,31,2012,1136827107.43308,1701207646,668.247118513762
11,1,2012,1136827107.43308,1701207646,668.247118513762
11,2,2012,1136827107.43308,1701207646,668.247118513762
11,3,2012,1136828622.40524,1701207646,668.2480090412431
11,4,2012,1138645786.89631,1701207646,669.3161705295498
11,5,2012,1138645786.89631,1701207646,669.3161705295498
11,6,2012,1138645786.89631,1701207646,669.3161705295498
11,7,2012,1138645786.89631,1701207646,669.3161705295498
11,8,2012,1138645786.89631,1701207646,669.3161705295498
11,9,2012,1138645786.89631,1701207646,669.3161705295498
