month,day,year,daily_cum_cubic_m_across_basin,basin_area,avg_mm_rainfall
1,1,2002,0,861237539,0
1,2,2002,0,861237539,0
1,3,2002,0,861237539,0
1,4,2002,0,861237539,0
1,5,2002,7552306.83785,861237539,8.769133364320293
1,6,2002,7552306.83785,861237539,8.769133364320293
1,7,2002,7552306.83785,861237539,8.769133364320293
1,8,2002,7552306.83785,861237539,8.769133364320293
1,9,2002,7552306.83785,861237539,8.769133364320293
1,10,2002,7552306.83785,861237539,8.769133364320293
1,11,2002,7552306.83785,861237539,8.769133364320293
1,12,2002,7552306.83785,861237539,8.769133364320293
1,13,2002,7552306.83785,861237539,8.769133364320293
1,14,2002,7552306.83785,861237539,8.769133364320293
1,15,2002,7552306.83785,861237539,8.769133364320293
1,16,2002,7552306.83785,861237539,8.769133364320293
1,17,2002,7552306.83785,861237539,8.769133364320293
1,18,2002,7552306.83785,861237539,8.769133364320293
1,19,2002,7552306.83785,861237539,8.769133364320293
1,20,2002,7552306.83785,861237539,8.769133364320293
1,21,2002,7552306.83785,861237539,8.769133364320293
1,22,2002,7603665.59351,861237539,8.828767034863304
1,23,2002,7603665.59351,861237539,8.828767034863304
1,24,2002,7687097.00183,861237539,8.925640898973866
1,25,2002,7687097.00183,861237539,8.925640898973866
1,26,2002,7687097.00183,861237539,8.925640898973866
1,27,2002,7687097.00183,861237539,8.925640898973866
1,28,2002,7687097.00183,861237539,8.925640898973866
1,29,2002,7687097.00183,861237539,8.925640898973866
1,30,2002,7687097.00183,861237539,8.925640898973866
1,31,2002,7935361.02764,861237539,9.213905186777977
2,1,2002,8149987.80755,861237539,9.46311260075021
2,2,2002,8149987.80755,861237539,9.46311260075021
2,3,2002,8149987.80755,861237539,9.46311260075021
2,4,2002,8344876.63668,861237539,9.689401888321544
2,5,2002,12769183.08948,861237539,14.826551922372719
2,6,2002,13021502.39959,861237539,15.119524881265075
2,7,2002,13021502.39959,861237539,15.119524881265075
2,8,2002,13021502.39959,861237539,15.119524881265075
2,9,2002,13021502.39959,861237539,15.119524881265075
2,10,2002,13021502.39959,861237539,15.119524881265075
2,11,2002,13021502.39959,861237539,15.119524881265075
2,12,2002,13021502.39959,861237539,15.119524881265075
2,13,2002,13021502.39959,861237539,15.119524881265075
2,14,2002,13021502.39959,861237539,15.119524881265075
2,15,2002,13021502.39959,861237539,15.119524881265075
2,16,2002,13021502.39959,861237539,15.119524881265075
2,17,2002,13021502.39959,861237539,15.119524881265075
2,18,2002,13021502.39959,861237539,15.119524881265075
2,19,2002,13021502.39959,861237539,15.119524881265075
2,20,2002,13021502.39959,861237539,15.119524881265075
2,21,2002,13021502.39959,861237539,15.119524881265075
2,22,2002,13021502.39959,861237539,15.119524881265075
2,23,2002,13021502.39959,861237539,15.119524881265075
2,24,2002,13021502.39959,861237539,15.119524881265075
2,25,2002,13021502.39959,861237539,15.119524881265075
2,26,2002,13021502.39959,861237539,15.119524881265075
2,27,2002,13021502.39959,861237539,15.119524881265075
2,28,2002,13021502.39959,861237539,15.119524881265075
3,1,2002,13248053.37125,861237539,15.382577710944389
3,2,2002,13264943.219,861237539,15.40218884838925
3,3,2002,13264943.219,861237539,15.40218884838925
3,4,2002,13264943.219,861237539,15.40218884838925
3,5,2002,13264943.219,861237539,15.40218884838925
3,6,2002,13264943.219,861237539,15.40218884838925
3,7,2002,13264943.219,861237539,15.40218884838925
3,8,2002,13274840.1745,861237539,15.413680399850755
3,9,2002,13326741.261,861237539,15.473943781496036
3,10,2002,13715694.86128,861237539,15.925565526562584
3,11,2002,14101951.64123,861237539,16.374055940018657
3,12,2002,14101951.64123,861237539,16.374055940018657
3,13,2002,14101951.64123,861237539,16.374055940018657
3,14,2002,14101951.64123,861237539,16.374055940018657
3,15,2002,14101951.64123,861237539,16.374055940018657
3,16,2002,14101951.64123,861237539,16.374055940018657
3,17,2002,14101951.64123,861237539,16.374055940018657
3,18,2002,14442311.88621,861237539,16.76925497578665
3,19,2002,14449630.95721,861237539,16.77775329439048
3,20,2002,30257403.4062,861237539,35.13247163068678
3,21,2002,30257403.4062,861237539,35.13247163068678
3,22,2002,30257403.4062,861237539,35.13247163068678
3,23,2002,30257403.4062,861237539,35.13247163068678
3,24,2002,30257403.4062,861237539,35.13247163068678
3,25,2002,30257708.08869,861237539,35.13282540357313
3,26,2002,30257708.08869,861237539,35.13282540357313
3,27,2002,30257708.08869,861237539,35.13282540357313
3,28,2002,30257708.08869,861237539,35.13282540357313
3,29,2002,30257708.08869,861237539,35.13282540357313
3,30,2002,55170702.62402,861237539,64.0597978207961
3,31,2002,55189000.30652,861237539,64.08104362311127
4,1,2002,55189000.30652,861237539,64.08104362311127
4,2,2002,55189000.30652,861237539,64.08104362311127
4,3,2002,55189000.30652,861237539,64.08104362311127
4,4,2002,55189000.30652,861237539,64.08104362311127
4,5,2002,55189000.30652,861237539,64.08104362311127
4,6,2002,55414267.0502,861237539,64.34260531019422
4,7,2002,60166677.53724,861237539,69.86072345046725
4,8,2002,94020350.81618,861237539,109.16889540758861
4,9,2002,94025906.09242,861237539,109.17534574908954
