month,day,year,daily_cum_cubic_m_across_basin,basin_area,avg_mm_rainfall
1,1,2002,0,1258791243,0
1,2,2002,0,1258791243,0
1,3,2002,0,1258791243,0
1,4,2002,0,1258791243,0
1,5,2002,9257071.21873,1258791243,7.353936778800741
1,6,2002,9257071.21873,1258791243,7.353936778800741
1,7,2002,9257071.21873,1258791243,7.353936778800741
1,8,2002,9257071.21873,1258791243,7.353936778800741
1,9,2002,9257071.21873,1258791243,7.353936778800741
1,10,2002,9257071.21873,1258791243,7.353936778800741
1,11,2002,9257071.21873,1258791243,7.353936778800741
1,12,2002,9257071.21873,1258791243,7.353936778800741
1,13,2002,9257071.21873,1258791243,7.353936778800741
1,14,2002,9257071.21873,1258791243,7.353936778800741
1,15,2002,9257071.21873,1258791243,7.353936778800741
1,16,2002,9257071.21873,1258791243,7.353936778800741
1,17,2002,9257071.21873,1258791243,7.353936778800741
1,18,2002,9257071.21873,1258791243,7.353936778800741
1,19,2002,9257177.19673,1258791243,7.354020969090901
1,20,2002,9257177.19673,1258791243,7.354020969090901
1,21,2002,9257177.19673,1258791243,7.354020969090901
1,22,2002,9257177.19673,1258791243,7.354020969090901
1,23,2002,9257177.19673,1258791243,7.354020969090901
1,24,2002,9280828.11973,1258791243,7.372809567384319
1,25,2002,9280828.11973,1258791243,7.372809567384319
1,26,2002,9280828.11973,1258791243,7.372809567384319
1,27,2002,9280828.11973,1258791243,7.372809567384319
1,28,2002,9280828.11973,1258791243,7.372809567384319
1,29,2002,9280828.11973,1258791243,7.372809567384319
1,30,2002,9280828.11973,1258791243,7.372809567384319
1,31,2002,10178787.37907,1258791243,8.08615998536145
2,1,2002,10178787.37907,1258791243,8.08615998536145
2,2,2002,10178787.37907,1258791243,8.08615998536145
2,3,2002,10178787.37907,1258791243,8.08615998536145
2,4,2002,10444769.84747,1258791243,8.297459889042143
2,5,2002,15150157.28823,1258791243,12.035480364578609
2,6,2002,15150157.28823,1258791243,12.035480364578609
2,7,2002,15150157.28823,1258791243,12.035480364578609
2,8,2002,15150157.28823,1258791243,12.035480364578609
2,9,2002,15150157.28823,1258791243,12.035480364578609
2,10,2002,15150157.28823,1258791243,12.035480364578609
2,11,2002,15150157.28823,1258791243,12.035480364578609
2,12,2002,15150157.28823,1258791243,12.035480364578609
2,13,2002,15150157.28823,1258791243,12.035480364578609
2,14,2002,15150157.28823,1258791243,12.035480364578609
2,15,2002,15150157.28823,1258791243,12.035480364578609
2,16,2002,15150157.28823,1258791243,12.035480364578609
2,17,2002,15150157.28823,1258791243,12.035480364578609
2,18,2002,15150157.28823,1258791243,12.035480364578609
2,19,2002,15150157.28823,1258791243,12.035480364578609
2,20,2002,15150157.28823,1258791243,12.035480364578609
2,21,2002,15150157.28823,1258791243,12.035480364578609
2,22,2002,15150157.28823,1258791243,12.035480364578609
2,23,2002,15150157.28823,1258791243,12.035480364578609
2,24,2002,15150157.28823,1258791243,12.035480364578609
2,25,2002,15150157.28823,1258791243,12.035480364578609
2,26,2002,15150157.28823,1258791243,12.035480364578609
2,27,2002,15150157.28823,1258791243,12.035480364578609
2,28,2002,15150157.28823,1258791243,12.035480364578609
